,publicationYear,anSQL,aSQL,anpercent,apercent
0,1983,1,0,100.0,0.0
1,1987,0,1,0.0,100.0
2,1988,3,1,75.0,25.0
3,1989,2,0,100.0,0.0
4,1990,2,0,100.0,0.0
5,1991,3,0,100.0,0.0
6,1992,6,1,85.71428571428571,14.285714285714285
7,1993,5,0,100.0,0.0
8,1994,2,4,33.33333333333333,66.66666666666666
9,1995,9,5,64.28571428571429,35.714285714285715
10,1996,7,4,63.63636363636363,36.36363636363637
11,1997,3,1,75.0,25.0
12,1998,3,1,75.0,25.0
13,1999,9,2,81.81818181818183,18.181818181818183
14,2000,10,5,66.66666666666666,33.33333333333333
15,2001,7,0,100.0,0.0
16,2002,10,3,76.92307692307693,23.076923076923077
17,2003,14,6,70.0,30.0
18,2004,14,7,66.66666666666666,33.33333333333333
19,2005,12,8,60.0,40.0
20,2006,14,4,77.77777777777779,22.22222222222222
21,2007,15,11,57.692307692307686,42.30769230769231
22,2008,19,5,79.16666666666666,20.833333333333336
23,2009,20,10,66.66666666666666,33.33333333333333
24,2010,26,8,76.47058823529412,23.52941176470588
25,2011,25,17,59.523809523809526,40.476190476190474
26,2012,24,14,63.1578947368421,36.84210526315789
27,2013,29,15,65.9090909090909,34.090909090909086
28,2014,16,13,55.172413793103445,44.827586206896555
29,2015,23,15,60.526315789473685,39.473684210526315
30,2016,37,24,60.65573770491803,39.34426229508197
31,2017,34,17,66.66666666666666,33.33333333333333
32,2018,28,31,47.45762711864407,52.54237288135594
33,2019,43,21,67.1875,32.8125
34,2020,33,22,60.0,40.0
35,2021,20,24,45.45454545454545,54.54545454545454
36,2022,14,12,53.84615384615385,46.15384615384615
37,2023,2,2,50.0,50.0
