,Unnamed: 0.1,date,article,anSQL,aSQL
0,0,2023-02-01,an,1,0
1,1,2022-03-20,an,1,0
2,2,2020-05-14,an,1,0
3,3,2019-05-20,an,1,0
4,4,2020-05-14,an,1,0
5,5,2023-10-16,an,1,0
6,6,2023-10-03,an,1,0
7,7,2023-08-06,an,1,0
8,8,2023-07-06,an,1,0
9,9,2023-03-26,an,1,0
10,10,2023-07-06,an,1,0
11,11,2023-01-25,an,1,0
12,12,2023-03-26,an,1,0
13,13,2023-03-27,an,1,0
14,14,2023-02-01,an,1,0
15,15,2023-01-21,an,1,0
16,16,2022-04-12,an,1,0
17,17,2022-03-03,an,1,0
18,18,2022-06-08,an,1,0
19,19,2020-05-27,an,1,0
20,20,2022-03-03,an,1,0
21,21,2020-05-14,an,1,0
22,22,2021-04-25,an,1,0
23,23,2021-03-05,an,1,0
24,24,2022-03-29,an,1,0
25,25,2022-03-20,an,1,0
26,26,2022-03-29,an,1,0
27,27,2022-03-29,an,1,0
28,28,2022-02-24,an,1,0
29,29,2022-03-20,an,1,0
30,30,2022-08-27,an,1,0
31,31,2023-01-30,an,1,0
32,32,2023-03-11,an,1,0
33,33,2023-05-11,an,1,0
34,34,2023-08-06,an,1,0
35,35,2023-07-06,an,1,0
36,36,2023-06-26,a,0,1
37,37,2023-02-24,a,0,1
38,38,2023-02-14,a,0,1
39,39,2023-01-27,a,0,1
40,40,2023-01-30,a,0,1
41,41,2021-03-05,a,0,1
42,42,2016-06-29,a,0,1
43,43,2020-05-14,a,0,1
44,44,2023-10-04,a,0,1
45,45,2023-05-24,a,0,1
46,46,2023-08-11,a,0,1
47,47,2023-03-11,a,0,1
48,48,2023-06-26,a,0,1
49,49,2023-08-06,a,0,1
50,50,2023-06-26,a,0,1
51,51,2023-05-11,a,0,1
52,52,2023-02-24,a,0,1
53,53,2023-02-14,a,0,1
54,54,2023-03-11,a,0,1
55,55,2023-02-01,a,0,1
56,56,2023-01-25,a,0,1
57,57,2023-05-03,a,0,1
58,58,2023-03-26,a,0,1
59,59,2023-02-24,a,0,1
60,60,2023-02-14,a,0,1
61,61,2022-12-24,a,0,1
62,62,2023-03-27,a,0,1
63,63,2023-02-14,a,0,1
64,64,2022-12-24,a,0,1
65,65,2023-02-14,a,0,1
66,66,2023-01-27,a,0,1
67,67,2023-01-27,a,0,1
68,68,2022-07-13,a,0,1
69,69,2023-02-14,a,0,1
70,70,2022-12-24,a,0,1
71,71,2023-01-30,a,0,1
72,72,2022-12-24,a,0,1
73,73,2022-08-27,a,0,1
74,74,2022-07-13,a,0,1
75,75,2022-04-12,a,0,1
76,76,2022-12-24,a,0,1
77,77,2022-08-27,a,0,1
78,78,2022-06-08,a,0,1
79,79,2022-04-12,a,0,1
80,80,2022-03-20,a,0,1
81,81,2021-04-25,a,0,1
82,82,2021-03-02,a,0,1
83,83,2022-03-03,a,0,1
84,84,2022-02-24,a,0,1
85,85,2021-04-25,a,0,1
86,86,2021-03-05,a,0,1
87,87,2022-03-03,a,0,1
88,88,2020-05-27,a,0,1
89,89,2022-03-29,a,0,1
90,90,2021-04-25,a,0,1
91,91,2022-01-19,a,0,1
92,92,2020-05-14,a,0,1
93,93,2020-04-06,a,0,1
94,94,2022-01-19,a,0,1
95,95,2020-05-27,a,0,1
96,96,2020-04-06,a,0,1
97,97,2019-09-23,a,0,1
98,98,2022-01-19,a,0,1
99,99,2022-03-03,a,0,1
100,100,2022-03-29,a,0,1
101,101,2021-04-25,a,0,1
102,102,2022-04-06,a,0,1
103,103,2022-03-29,a,0,1
104,104,2022-12-24,a,0,1
105,105,2022-04-06,a,0,1
106,106,2023-02-24,a,0,1
107,107,2022-07-13,a,0,1
108,108,2023-03-27,a,0,1
109,109,2023-02-24,a,0,1
110,110,2023-01-25,a,0,1
111,111,2023-03-26,a,0,1
112,112,2023-06-26,a,0,1
113,113,2023-05-11,a,0,1
114,114,2023-10-11,a,0,1
115,115,2023-09-26,a,0,1
